CP_FILE_NAME: all2all_8
HOST: nico3
CUDA_VISIBLE_DEVICES: 
GPU_NUM: 8
PROC_NUM: 8
NODE_NUM: 1
NTASK_PER_NODE: 8
BACKEND: NCCL
[[0,1],[1,2],[2,3],[3,4],[4,5],[5,6],[6,7],[7,0]]
MIXED_P2P_NUM: 6561
21210000: time 1.117875 s, REAL_BD 8.945544 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
02210000: time 1.255833 s, REAL_BD 7.962842 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
12210000: time 1.257040 s, REAL_BD 7.955196 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
22210000: time 1.266738 s, REAL_BD 7.894292 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
00020000: time 0.551035 s, REAL_BD 18.147668 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
10020000: time 0.724729 s, REAL_BD 13.798261 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
20020000: time 0.559193 s, REAL_BD 17.882913 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
01020000: time 1.042112 s, REAL_BD 9.595898 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
11020000: time 1.859234 s, REAL_BD 5.378559 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
21020000: time 1.047410 s, REAL_BD 9.547360 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
02020000: time 0.552916 s, REAL_BD 18.085930 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
12020000: time 0.652735 s, REAL_BD 15.320153 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
22020000: time 0.559313 s, REAL_BD 17.879077 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
00120000: time 0.539069 s, REAL_BD 18.550501 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
10120000: time 0.556331 s, REAL_BD 17.974911 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
20120000: time 0.553802 s, REAL_BD 18.056995 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
01120000: time 1.035111 s, REAL_BD 9.660800 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
11120000: time 1.853580 s, REAL_BD 5.394965 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
21120000: time 1.046669 s, REAL_BD 9.554119 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
02120000: time 0.556084 s, REAL_BD 17.982895 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
12120000: time 0.702453 s, REAL_BD 14.235828 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
22120000: time 0.559637 s, REAL_BD 17.868726 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
00220000: time 0.551475 s, REAL_BD 18.133188 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
10220000: time 0.724174 s, REAL_BD 13.808836 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
20220000: time 0.560906 s, REAL_BD 17.828299 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
01220000: time 0.941592 s, REAL_BD 10.620311 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
11220000: time 1.759249 s, REAL_BD 5.684244 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
21220000: time 0.971562 s, REAL_BD 10.292704 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
02220000: time 0.556935 s, REAL_BD 17.955417 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
12220000: time 0.706637 s, REAL_BD 14.151537 GB/s, SIZE 131072.000000 KB, max_BD: 22.134422 GB/s
