HOST: g3017
CP_FILE_NAME: small
HOST: g3017
CUDA_VISIBLE_DEVICES: 
GPU_NUM: 8
PROC_NUM: 8
NNODES: 1
NTASK_PER_NODE: 8
COMM_MODULE: raw-nccl
+ srun -p rag -N 1 --ntasks-per-node 8 --gres=gpu:8 --mem 256G -K -w g3017 -c 16 ./scripts/executor.sh python conflict_bench.py --backend NCCL --config ./scripts/configs/small_8.json --comm-module raw-nccl
NCCL version 2.18.6+cuda11.8
[INFO]: Cluster init done !!!
[[0, 1]]
NCCL version 2.21.5+cuda11.8
SIZE 3670016, REAL_BD 120.523 GB/s, BD/PAIR 120.523 GB/s, time 0.003 s, comm_vol 367.002 MB
SIZE 4194304, REAL_BD 128.27 GB/s, BD/PAIR 128.27 GB/s, time 0.0033 s, comm_vol 419.43 MB
SIZE 5242880, REAL_BD 142.359 GB/s, BD/PAIR 142.359 GB/s, time 0.0037 s, comm_vol 524.288 MB
SIZE 6291456, REAL_BD 152.976 GB/s, BD/PAIR 152.976 GB/s, time 0.0041 s, comm_vol 629.146 MB
SIZE 7340032, REAL_BD 164.15 GB/s, BD/PAIR 164.15 GB/s, time 0.0045 s, comm_vol 734.003 MB
SIZE 8388608, REAL_BD 172.017 GB/s, BD/PAIR 172.017 GB/s, time 0.0049 s, comm_vol 838.861 MB
SIZE 10485760, REAL_BD 175.936 GB/s, BD/PAIR 175.936 GB/s, time 0.006 s, comm_vol 1.049 GB
SIZE 12582912, REAL_BD 185.09 GB/s, BD/PAIR 185.09 GB/s, time 0.0068 s, comm_vol 1.258 GB
SIZE 14680064, REAL_BD 193.394 GB/s, BD/PAIR 193.394 GB/s, time 0.0076 s, comm_vol 1.468 GB
SIZE 16777216, REAL_BD 201.531 GB/s, BD/PAIR 201.531 GB/s, time 0.0083 s, comm_vol 1.678 GB
SIZE 20971520, REAL_BD 206.539 GB/s, BD/PAIR 206.539 GB/s, time 0.0102 s, comm_vol 2.097 GB
SIZE 25165824, REAL_BD 211.707 GB/s, BD/PAIR 211.707 GB/s, time 0.0119 s, comm_vol 2.517 GB
SIZE 29360128, REAL_BD 210.526 GB/s, BD/PAIR 210.526 GB/s, time 0.0139 s, comm_vol 2.936 GB
SIZE 33554432, REAL_BD 216.137 GB/s, BD/PAIR 216.137 GB/s, time 0.0155 s, comm_vol 3.355 GB
SIZE 41943040, REAL_BD 221.885 GB/s, BD/PAIR 221.885 GB/s, time 0.0189 s, comm_vol 4.194 GB
SIZE 50331648, REAL_BD 225.714 GB/s, BD/PAIR 225.714 GB/s, time 0.0223 s, comm_vol 5.033 GB
SIZE 58720256, REAL_BD 228.665 GB/s, BD/PAIR 228.665 GB/s, time 0.0257 s, comm_vol 5.872 GB
SIZE 67108864, REAL_BD 231.55 GB/s, BD/PAIR 231.55 GB/s, time 0.029 s, comm_vol 6.711 GB
SIZE 83886080, REAL_BD 235.482 GB/s, BD/PAIR 235.482 GB/s, time 0.0356 s, comm_vol 8.389 GB
SIZE 100663296, REAL_BD 237.992 GB/s, BD/PAIR 237.992 GB/s, time 0.0423 s, comm_vol 10.066 GB
SIZE 117440512, REAL_BD 240.031 GB/s, BD/PAIR 240.031 GB/s, time 0.0489 s, comm_vol 11.744 GB
SIZE 134217728, REAL_BD 241.355 GB/s, BD/PAIR 241.355 GB/s, time 0.0556 s, comm_vol 13.422 GB
SIZE 167772160, REAL_BD 243.821 GB/s, BD/PAIR 243.821 GB/s, time 0.0688 s, comm_vol 16.777 GB
SIZE 201326592, REAL_BD 245.747 GB/s, BD/PAIR 245.747 GB/s, time 0.0819 s, comm_vol 20.133 GB
SIZE 234881024, REAL_BD 247.329 GB/s, BD/PAIR 247.329 GB/s, time 0.095 s, comm_vol 23.488 GB
SIZE 268435456, REAL_BD 248.999 GB/s, BD/PAIR 248.999 GB/s, time 0.1078 s, comm_vol 26.844 GB
SIZE 335544320, REAL_BD 254.712 GB/s, BD/PAIR 254.712 GB/s, time 0.1317 s, comm_vol 33.554 GB
SIZE 402653184, REAL_BD 255.498 GB/s, BD/PAIR 255.498 GB/s, time 0.1576 s, comm_vol 40.265 GB
SIZE 469762048, REAL_BD 256.143 GB/s, BD/PAIR 256.143 GB/s, time 0.1834 s, comm_vol 46.976 GB
