[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 0]]
NCCL version 2.21.5+cuda11.8
SIZE 100663296, REAL_BD 1.637 TB/s, BD/PAIR 204.586 GB/s, time 0.0492 s, comm_vol 80.531 GB
SIZE 117440512, REAL_BD 1.647 TB/s, BD/PAIR 205.903 GB/s, time 0.057 s, comm_vol 93.952 GB
SIZE 134217728, REAL_BD 1.671 TB/s, BD/PAIR 208.936 GB/s, time 0.0642 s, comm_vol 107.374 GB
SIZE 167772160, REAL_BD 1.649 TB/s, BD/PAIR 206.161 GB/s, time 0.0814 s, comm_vol 134.218 GB
SIZE 201326592, REAL_BD 1.665 TB/s, BD/PAIR 208.182 GB/s, time 0.0967 s, comm_vol 161.061 GB
SIZE 234881024, REAL_BD 1.681 TB/s, BD/PAIR 210.069 GB/s, time 0.1118 s, comm_vol 187.905 GB
SIZE 268435456, REAL_BD 1.707 TB/s, BD/PAIR 213.329 GB/s, time 0.1258 s, comm_vol 214.748 GB
SIZE 335544320, REAL_BD 1.766 TB/s, BD/PAIR 220.744 GB/s, time 0.152 s, comm_vol 268.435 GB
SIZE 402653184, REAL_BD 1.774 TB/s, BD/PAIR 221.777 GB/s, time 0.1816 s, comm_vol 322.123 GB
SIZE 469762048, REAL_BD 1.766 TB/s, BD/PAIR 220.733 GB/s, time 0.2128 s, comm_vol 375.81 GB
SIZE 536870912, REAL_BD 1.781 TB/s, BD/PAIR 222.621 GB/s, time 0.2412 s, comm_vol 429.497 GB
SIZE 671088640, REAL_BD 1.777 TB/s, BD/PAIR 222.139 GB/s, time 0.3021 s, comm_vol 536.871 GB
SIZE 805306368, REAL_BD 1.735 TB/s, BD/PAIR 216.935 GB/s, time 0.3712 s, comm_vol 644.245 GB
SIZE 939524096, REAL_BD 1.784 TB/s, BD/PAIR 222.969 GB/s, time 0.4214 s, comm_vol 751.619 GB
SIZE 1073741824, REAL_BD 1.714 TB/s, BD/PAIR 214.208 GB/s, time 0.5013 s, comm_vol 858.993 GB
+ set +x
