CP_FILE_NAME: all2all_4
HOST: nico4
CUDA_VISIBLE_DEVICES: 
GPU_NUM: 4
PROC_NUM: 4
NODE_NUM: 1
NTASK_PER_NODE: 4
BACKEND: NCCL
[[0,1],[1,2],[2,3],[3,0]]
MIXED_P2P_NUM: 256
3030: time 0.383038 s, REAL_BD 13.053535 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
0130: time 1.076136 s, REAL_BD 4.646253 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
1130: time 1.829684 s, REAL_BD 2.732712 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
2130: time 1.033108 s, REAL_BD 4.839765 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
3130: time 0.869961 s, REAL_BD 5.747384 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
0230: time 0.482584 s, REAL_BD 10.360891 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
1230: time 0.666707 s, REAL_BD 7.499546 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
2230: time 0.406617 s, REAL_BD 12.296584 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
3230: time 0.483028 s, REAL_BD 10.351367 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
0330: time 1.071934 s, REAL_BD 4.664466 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
1330: time 1.829331 s, REAL_BD 2.733240 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
2330: time 1.037046 s, REAL_BD 4.821387 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
3330: time 0.869110 s, REAL_BD 5.753012 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
0001: time 1.074234 s, REAL_BD 4.654479 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
1001: time 1.070034 s, REAL_BD 4.672749 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
2001: time 0.965831 s, REAL_BD 5.176889 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
3001: time 1.072961 s, REAL_BD 4.660002 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
0101: time 1.602427 s, REAL_BD 3.120267 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
1101: time 1.577232 s, REAL_BD 3.170111 GB/s, SIZE 131072.000000 KB, max_BD: 13.204528 GB/s
