make -C csrc
make[1]: Entering directory '/home/yhy/fold/comm_test/csrc'
make[1]: Nothing to be done for 'all'.
make[1]: Leaving directory '/home/yhy/fold/comm_test/csrc'
GPU_NUM: 4
CUDA_VISIBLE_DEVICES: 
srun: error: Required nodelist includes more nodes than permitted by max-node count (2 > 1). Eliminating nodes from the nodelist.
SC4: 0.002661 s, REAL_BD 0.086013 GB/s, SIZE 0.000061 GB, comm_vol 0.000229 GB
SC4: 0.010176 s, REAL_BD 0.044985 GB/s, SIZE 0.000122 GB, comm_vol 0.000458 GB
SC4: 0.003673 s, REAL_BD 0.249259 GB/s, SIZE 0.000244 GB, comm_vol 0.000916 GB
SC4: 0.007453 s, REAL_BD 0.245680 GB/s, SIZE 0.000488 GB, comm_vol 0.001831 GB
SC4: 0.003802 s, REAL_BD 0.963206 GB/s, SIZE 0.000977 GB, comm_vol 0.003662 GB
SC4: 0.009797 s, REAL_BD 0.747598 GB/s, SIZE 0.001953 GB, comm_vol 0.007324 GB
SC4: 0.007114 s, REAL_BD 2.059100 GB/s, SIZE 0.003906 GB, comm_vol 0.014648 GB
SC4: 0.018751 s, REAL_BD 1.562417 GB/s, SIZE 0.007812 GB, comm_vol 0.029297 GB
SC4: 0.019762 s, REAL_BD 2.964971 GB/s, SIZE 0.015625 GB, comm_vol 0.058594 GB
SC4: 0.039249 s, REAL_BD 2.985745 GB/s, SIZE 0.031250 GB, comm_vol 0.117188 GB
SC4: 0.066638 s, REAL_BD 3.517137 GB/s, SIZE 0.062500 GB, comm_vol 0.234375 GB
SC4: 0.118945 s, REAL_BD 3.940897 GB/s, SIZE 0.125000 GB, comm_vol 0.468750 GB
SC4: 0.231998 s, REAL_BD 4.040983 GB/s, SIZE 0.250000 GB, comm_vol 0.937500 GB
SC4: 0.458259 s, REAL_BD 4.091573 GB/s, SIZE 0.500000 GB, comm_vol 1.875000 GB
SC4: 0.911703 s, REAL_BD 4.113182 GB/s, SIZE 1.000000 GB, comm_vol 3.750000 GB
SC4: 1.816822 s, REAL_BD 4.128087 GB/s, SIZE 2.000000 GB, comm_vol 7.500000 GB
SC4: 3.639478 s, REAL_BD 4.121470 GB/s, SIZE 4.000000 GB, comm_vol 15.000000 GB
SC4: 7.261313 s, REAL_BD 4.131484 GB/s, SIZE 8.000000 GB, comm_vol 30.000000 GB
BRUCK: 0.002934 s, REAL_BD 0.001219 GB/s, SIZE 0.000001 GB, comm_vol 0.000004 GB
BRUCK: 0.003043 s, REAL_BD 0.002350 GB/s, SIZE 0.000002 GB, comm_vol 0.000007 GB
BRUCK: 0.002931 s, REAL_BD 0.004881 GB/s, SIZE 0.000004 GB, comm_vol 0.000014 GB
BRUCK: 0.002908 s, REAL_BD 0.009838 GB/s, SIZE 0.000008 GB, comm_vol 0.000029 GB
BRUCK: 0.002935 s, REAL_BD 0.019496 GB/s, SIZE 0.000015 GB, comm_vol 0.000057 GB
BRUCK: 0.002915 s, REAL_BD 0.039259 GB/s, SIZE 0.000031 GB, comm_vol 0.000114 GB
BRUCK: 0.002910 s, REAL_BD 0.078654 GB/s, SIZE 0.000061 GB, comm_vol 0.000229 GB
BRUCK: 0.003034 s, REAL_BD 0.150878 GB/s, SIZE 0.000122 GB, comm_vol 0.000458 GB
BRUCK: 0.003570 s, REAL_BD 0.256450 GB/s, SIZE 0.000244 GB, comm_vol 0.000916 GB
BRUCK: 0.003854 s, REAL_BD 0.475105 GB/s, SIZE 0.000488 GB, comm_vol 0.001831 GB
